X Y Z R G B Scalar_field Scalar_field_#2 Scalar_field_#3 Scalar_field_#4 Scalar_field_#5 Scalar_field_#6 Scalar_field_#7 Nx Ny Nz
260777.51000023 2147592.95999908 917.85998535 1 1 0 7.000000 215370688.000000 -37.000000 18983.000000 0.000000 0.000000 0.000000 0.999999 0.000978 0.000978
260797.08999991 2147601.73000336 875.67999268 2 2 0 7.000000 215370688.000000 -35.000000 24313.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260754.52000046 2147642.69000244 873.79998779 2 1 0 7.000000 215370688.000000 -32.000000 18153.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260756.15999985 2147638.83999634 874.45001221 2 1 0 7.000000 215370688.000000 -33.000000 19332.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260753.11999893 2147640.96000671 874.36999512 1 1 0 7.000000 215370688.000000 -32.000000 25121.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260752.49000168 2147637.92999268 873.82000732 1 1 0 7.000000 215370688.000000 -32.000000 18721.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260744.34000015 2147647.69999695 872.59997559 1 1 0 7.000000 215370688.000000 -32.000000 21997.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260739.68000031 2147654.63000488 874.39001465 1 1 0 7.000000 215370688.000000 -31.000000 19616.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260739.49000168 2147651.21000671 874.69000244 2 1 0 7.000000 215370688.000000 -32.000000 21692.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260744.75000000 2147639.03999329 878.89001465 2 1 0 7.000000 215370688.000000 -32.000000 17519.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260741.54999924 2147642.88000488 877.20001221 2 1 0 7.000000 215370688.000000 -32.000000 18218.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260738.11999893 2147647.85000610 876.09002686 1 1 0 7.000000 215370688.000000 -32.000000 17519.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260733.44999695 2147635.64999390 873.40002441 1 1 0 7.000000 215370688.000000 -32.000000 19857.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260732.01999664 2147634.60000610 876.71997070 1 1 0 7.000000 215370688.000000 -32.000000 19114.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260728.25000000 2147637.25999451 871.83001709 1 1 0 7.000000 215370688.000000 -32.000000 19026.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260714.51000214 2147644.05999756 869.59997559 1 1 0 7.000000 215370688.000000 -31.000000 19398.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260713.37999725 2147644.05999756 873.58001709 1 1 0 7.000000 215370688.000000 -31.000000 17803.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260710.66999817 2147643.86999512 872.82000732 1 1 0 7.000000 215370688.000000 -31.000000 16864.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260710.18000031 2147638.86000061 855.03002930 1 1 0 7.000000 215370688.000000 -31.000000 18961.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260709.55999756 2147641.14999390 873.97998047 1 1 0 7.000000 215370688.000000 -31.000000 17213.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260710.61000061 2147638.80999756 859.08001709 1 1 0 7.000000 215370688.000000 -31.000000 17519.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260763.68000031 2147634.25999451 878.09002686 2 1 0 7.000000 215370688.000000 -33.000000 17781.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260766.75000000 2147639.08999634 875.67999268 2 1 0 7.000000 215370688.000000 -33.000000 16689.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260768.92000008 2147640.27000427 875.66998291 1 1 0 7.000000 215370688.000000 -33.000000 18895.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260769.43000031 2147638.22999573 875.42999268 2 1 0 7.000000 215370688.000000 -33.000000 19442.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260773.34000015 2147646.96000671 875.90002441 2 1 0 7.000000 215370688.000000 -33.000000 19529.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260806.88999987 2147666.30999756 889.26000977 1 1 0 7.000000 215370688.000000 -33.000000 18830.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260808.64999962 2147663.47000122 891.42999268 1 1 0 7.000000 215370688.000000 -33.000000 18415.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260808.60999966 2147669.36000061 884.08001709 1 1 0 7.000000 215370688.000000 -33.000000 17017.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260811.69999981 2147661.92999268 889.36999512 1 1 0 7.000000 215370688.000000 -34.000000 17039.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260812.90999985 2147664.80999756 886.03002930 1 1 0 7.000000 215370688.000000 -33.000000 17716.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260814.68000031 2147667.78999329 888.09002686 1 1 0 7.000000 215370688.000000 -33.000000 17628.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260801.17999995 2147485.18999958 155.27000427 2 2 0 7.000000 215370944.000000 15.000000 26629.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260718.01000214 2147510.30000019 789.90997314 2 1 0 7.000000 215370944.000000 23.000000 18153.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260716.86000061 2147512.02000046 790.19000244 2 1 0 7.000000 215370944.000000 23.000000 18175.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260719.38999939 2147506.09999990 789.78997803 2 1 0 7.000000 215370944.000000 23.000000 20971.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260715.02999878 2147507.00000000 786.61999512 2 1 0 7.000000 215370944.000000 23.000000 16187.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260749.45999908 2147631.52000427 874.95001221 2 1 0 7.000000 215370944.000000 19.000000 14920.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260753.45000076 2147627.76999664 876.71002197 2 1 0 7.000000 215370944.000000 19.000000 12757.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260752.47999954 2147629.86999512 876.78002930 2 1 0 7.000000 215370944.000000 19.000000 15204.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260747.47999954 2147631.94000244 873.63000488 2 1 0 7.000000 215370944.000000 19.000000 14985.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260745.79000092 2147630.97000122 872.29998779 2 1 0 7.000000 215370944.000000 19.000000 13784.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260741.65999985 2147631.94999695 874.67999268 2 1 0 7.000000 215370944.000000 19.000000 14133.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260745.52999878 2147628.38000488 875.63000488 2 1 0 7.000000 215370944.000000 19.000000 13216.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260740.45000076 2147624.77999878 863.55999756 1 1 0 7.000000 215370944.000000 19.000000 36590.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260730.94999695 2147610.06999969 872.48999023 1 1 0 7.000000 215370944.000000 20.000000 14374.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260726.12000275 2147612.40000153 858.97998047 1 1 0 7.000000 215370944.000000 19.000000 14941.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260723.59999847 2147616.50000000 847.73999023 2 1 0 7.000000 215370944.000000 18.000000 14199.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260737.83000183 2147590.94000244 833.83001709 1 1 0 7.000000 215370944.000000 20.000000 26235.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260731.18000031 2147601.50000000 841.50000000 1 1 0 7.000000 215370944.000000 19.000000 17432.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260725.87999725 2147609.87999725 857.57000732 1 1 0 7.000000 215370944.000000 19.000000 16929.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260723.73000336 2147613.30000305 856.92999268 1 1 0 7.000000 215370944.000000 19.000000 14941.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260722.90000153 2147614.44000244 854.67999268 2 1 0 7.000000 215370944.000000 18.000000 13784.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260735.86000061 2147592.41000366 835.01000977 1 1 0 7.000000 215370944.000000 20.000000 26061.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260731.47000122 2147599.41000366 838.32000732 1 1 0 7.000000 215370944.000000 19.000000 20556.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260722.97000122 2147612.84999847 861.83001709 1 1 0 7.000000 215370944.000000 19.000000 13128.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260722.98000336 2147610.41000366 857.64001465 1 1 0 7.000000 215370944.000000 19.000000 15815.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260728.51000214 2147598.04000092 835.71002197 1 1 0 7.000000 215370944.000000 19.000000 17235.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260722.19000244 2147608.05999756 857.29998779 1 1 0 7.000000 215370944.000000 19.000000 14614.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
